gene,case_missense_mpc_2,control_missense_mpc_2,sample_missense_mpc_2,pval_missense_mpc_2,OR_missense_mpc_2,lowci_missense_mpc_2,highci_missense_mpc_2
A2M,102,183,285,0.30852165116805724,1.1342913179359235,0.8785553299219159,1.4578228779215516
A2ML1,200,337,537,0.03454165208341128,1.2150836885809726,1.010335694341637,1.458404829129281
AAAS,29,73,102,0.3431879631411897,0.8045021500712712,0.5034017175712893,1.2552074444465908
AACS,50,79,129,0.18717351662435142,1.2876565323222742,0.8830816026644381,1.8624420295343564
AAGAB,42,66,108,0.21707844961280914,1.2941322929072445,0.8556434112377124,1.9383831700034735
AAK1,9,21,30,0.8468912448920545,0.8691670097171152,0.3500840633350242,1.9818559118623447
AAMP,29,43,72,0.20868684009360175,1.3710049975951153,0.8240187541730114,2.2509420303897665
AASDH,120,258,378,0.6171229093914964,0.9417873256588939,0.749261453011063,1.1784452591816952
AASS,141,328,469,0.17606639719268988,0.8672815828724797,0.7040006502670586,1.0640635809530274
AATF,56,100,156,0.4414401528580457,1.1380674023822266,0.8035397786332062,1.5980866121980075
AATK,28,64,92,0.656927817949881,0.8867612545666218,0.5465270227393265,1.4055429595879518
ABCA10,73,150,223,1.0,0.9870702936929275,0.7336916630338679,1.3180344782450637
ABCA2,131,237,368,0.285040579191908,1.1256048308003508,0.8989501769752806,1.4045217609997687
ABCA3,3,13,16,0.29305090081113133,0.46778055134058266,0.08545121991628689,1.7036493429823192
ABCA4,425,882,1307,0.7080912657531776,0.974789008616181,0.8600670624305944,1.1036509260748455
ABCA5,102,215,317,0.7625447094659843,0.9614497015267128,0.7495202346999569,1.2267668591100602
ABCA6,108,212,320,0.7636055845192489,1.0344341354087498,0.8100060962830222,1.314931878355117
ABCA7,230,489,719,0.5667303961639423,0.9513096616607091,0.8056621057478254,1.120848038395367
ABCA8,209,244,453,3.727765101400422e-09,1.779903374650741,1.4661116986833012,2.1591472819646356
ABCA9,59,129,188,0.6959645348614815,0.9267562589355192,0.6674787456853412,1.2739224445631732
ABCB1,114,276,390,0.11227343705429974,0.8330565725710992,0.6613781781884277,1.043746571998941
ABCB6,217,363,580,0.02347602781358394,1.2253778373635498,1.0260334233383852,1.4608294853955508
ABCB8,92,191,283,0.8982364237790342,0.9766327264086752,0.7507497620727422,1.2630332613147845
ABCB9,29,62,91,0.9109827146748278,0.9485390644777827,0.5872706642082887,1.4997369463626204
ABCC1,187,368,555,0.7462018278226838,1.0325030913430684,0.8573142208120876,1.240235497976713
ABCC10,295,587,882,0.7944013729967139,1.0211752324048058,0.8797384500855447,1.1834652692950205
ABCC11,256,437,693,0.024548335297063243,1.2017858114051496,1.0206473659521278,1.4129406410573109
ABCC12,167,249,416,0.002044191639854743,1.3769305897187567,1.1203809954341193,1.6887869031600808
ABCC5,100,143,243,0.0071631886151659226,1.4298089479909235,1.0927439759248112,1.8649096632194084
ABCC6,176,287,463,0.0204230192217004,1.2556879910035152,1.030542724044691,1.5268233459357157
ABCC8,90,143,233,0.06760572236692955,1.2833533562812043,0.9718088927427675,1.6875004760356624
