gene,case_missense_mpc_2,control_missense_mpc_2,sample_missense_mpc_2,pval_missense_mpc_2,OR_missense_mpc_2,lowci_missense_mpc_2,highci_missense_mpc_2
A1BG,26,42,68,0.366872038438531,1.2575526727760318,0.7390293071276058,2.1030858002225026
A1BG-AS1,0,0,0,,,,
A1CF,98,173,271,0.2670901265045839,1.1530793644636843,0.8878312773165004,1.4906666922213896
A2M,102,183,285,0.30852165116805724,1.1342913179359235,0.8785553299219159,1.4578228779215516
A2ML1,200,338,538,0.038850178737046784,1.2113284196325669,1.0073067797797532,1.4538122949020544
A3GALT2,46,125,171,0.10101570124858092,0.7435225449655055,0.5171478879904098,1.0529512516586192
A4GALT,26,30,56,0.04492645097382104,1.763327673555218,1.000183138983747,3.089709594884831
A4GNT,51,80,131,0.16098261331822566,1.2971617200557712,0.8926223987508393,1.8703365641870118
AAAS,30,73,103,0.4615165150211449,0.8324499560900804,0.5242593806216268,1.2922392253486006
AACS,54,85,139,0.14699239149040344,1.2928589420994603,0.8996941503680084,1.8441267173960385
AADAC,57,108,165,0.677308723232325,1.0717678296558517,0.7616569602817647,1.4945019797992112
AADACL2,34,60,94,0.5104341993128427,1.1509158217858382,0.7312216159697789,1.7851951565939987
AADACL3,111,204,315,0.3956938043243068,1.106924093024441,0.8674498075121818,1.4065185953407686
AADACL4,66,163,229,0.17828334317161046,0.8183786623708466,0.6036035379043071,1.0988214446337474
AADAT,10,8,18,0.0477917046062016,2.5396847286593953,0.9016642652410118,7.411464394789601
AAED1,23,51,74,0.8045648022477696,0.9144156286303547,0.5325354692774933,1.5262917872396258
AAGAB,42,66,108,0.21707844961280914,1.2941322929072445,0.8556434112377124,1.9383831700034735
AAK1,22,48,70,0.898645731398628,0.9294383197168604,0.5334782404135608,1.5724856948695694
AAMDC,10,14,24,0.38818562170270865,1.4502467960229004,0.5757430406999204,3.5139143044347496
AAMP,29,43,72,0.20868684009360175,1.3710049975951153,0.8240187541730114,2.2509420303897665
AANAT,17,36,53,0.9999999999999999,0.9578280648990055,0.50383069005243,1.7525179437238736
AAR2,87,131,218,0.03474214589522665,1.3553361096985839,1.0184153654726125,1.7961551741999935
AARD,16,27,43,0.6262427058727382,1.2030095047880516,0.604759412630585,2.317892623163938
AARS,153,272,425,0.18909718362098815,1.1469556356008899,0.9309024681862038,1.4090787726293414
AARS2,97,185,282,0.6087935118987714,1.0653443925076915,0.8218712083936447,1.3738760701483783
AASDH,124,258,382,0.8682291561912627,0.9742210572966244,0.7771128787784953,1.2161182246135551
AASDHPPT,13,17,30,0.24567908202396907,1.55321292365398,0.6929830718857668,3.3995088101831548
AASS,141,328,469,0.17606639719268988,0.8672815828724797,0.7040006502670586,1.0640635809530274
AATF,56,100,156,0.4414401528580457,1.1380674023822266,0.8035397786332062,1.5980866121980075
AATK,29,67,96,0.5877741691141842,0.8771998183155826,0.5459439167218882,1.3778788645715618
