gene,case_missense_mpc_2,control_missense_mpc_2,sample_missense_mpc_2,pval_missense_mpc_2,OR_missense_mpc_2,lowci_missense_mpc_2,highci_missense_mpc_2
A1BG,22,32,54,0.24637931746725739,1.3970132374251842,0.7722546932100102,2.483813851122725
A1CF,96,168,264,0.2604093954564942,1.1633028883988865,0.8928854967761861,1.5085789019972207
A2M,73,120,193,0.1646630352127994,1.2385987413289945,0.9105240932549399,1.6752705237996932
A2ML1,148,250,398,0.07368033556413851,1.2089704151065657,0.9760448363875978,1.4934247134115743
A3GALT2,46,125,171,0.10101570124858092,0.7435225449655055,0.5171478879904098,1.0529512516586192
A4GALT,22,21,43,0.014373359967716732,2.1316712801444084,1.1166019868286592,4.080271710288764
A4GNT,49,76,125,0.15142591628048507,1.3118700606095552,0.8949362095579814,1.9076764993940312
AAAS,21,41,62,0.892729988307219,1.0392962732797466,0.5826256626665968,1.802925182286555
AACS,53,85,138,0.20210210870236356,1.2685923709231612,0.8807681819311152,1.8130806014460779
AADAC,19,30,49,0.44658383724591805,1.2861975222159086,0.6831716779261956,2.3648082390963934
AADACL2,25,44,69,0.6078887044379098,1.1536550710978548,0.6755493110167746,1.930182919213667
AADACL3,111,202,313,0.3609868922803521,1.1181743893426805,0.8759261061348541,1.4214430875655673
AADACL4,57,152,209,0.07533114388406834,0.757189476882376,0.5469862002736876,1.0358979451550856
AADAT,10,8,18,0.0477917046062016,2.5396847286593953,0.9016642652410118,7.411464394789601
AAED1,1,9,10,0.18098649278991666,0.22520671438138265,0.0051408791809560905,1.6264553033511746
AAGAB,28,45,73,0.32125131509797755,1.2641718657109207,0.7581782671645211,2.0747183218018868
AAK1,2,10,12,0.35842439206481297,0.405463516367958,0.043177219498606256,1.9039815403528761
AAMDC,10,14,24,0.38818562170270865,1.4502467960229004,0.5757430406999204,3.5139143044347496
AAMP,21,30,51,0.23310530874904145,1.4224015961843304,0.7729094460771214,2.5722824669407975
AANAT,3,5,8,0.7242507908814891,1.2173602435350601,0.18895067136064247,6.260925435187645
AAR2,24,37,61,0.3390626613612744,1.3178222526179835,0.7530725079446016,2.266040105803448
AARS,153,272,425,0.18909718362098815,1.1469556356008899,0.9309024681862038,1.4090787726293414
AARS2,97,178,275,0.43632192609993853,1.108245625240691,0.8535924270544929,1.43183720833999
AASDH,102,215,317,0.7625447094659843,0.9614497015267128,0.7495202346999569,1.2267668591100602
AASDHPPT,7,7,14,0.25299988253783656,2.030518275322638,0.6072726637598705,6.789755668761271
AASS,124,270,394,0.548938385950165,0.9294483360205781,0.742520639247295,1.1582458952120713
AATF,33,64,97,0.8289393891610403,1.0464540881165745,0.6646225568235026,1.6201507839988212
AATK,4,2,6,0.0969883526155232,4.060069806477633,0.5816004925303284,44.9011301989049
ABAT,46,72,118,0.16928541242555328,1.2996230852901436,0.8758219175145098,1.9117636122851163
ABCA1,229,443,672,0.5543227834109018,1.051773262181575,0.8882972576095671,1.2428019518724245
ABCA10,203,451,654,0.28476628174567986,0.9083348707090614,0.7621943558856805,1.0796739713444343
ABCA12,175,331,506,0.43984568952421926,1.0760247314598068,0.8869186468116632,1.3019897215359728
ABCA13,362,846,1208,0.018331048091093698,0.8544340962948337,0.7484195187064815,0.9741331401505373
ABCA2,131,237,368,0.285040579191908,1.1256048308003508,0.8989501769752806,1.4045217609997687
ABCA3,291,653,944,0.1390236052306404,0.896255654416011,0.7734029023482996,1.0368090423247656
ABCA4,236,517,753,0.3169694068557642,0.9212628944855263,0.7823626131887179,1.0824499902717886
ABCA5,75,173,248,0.3752060300586061,0.8771373304522736,0.657891680145673,1.1600981340896594
ABCA6,90,193,283,0.7012055470086425,0.9447531383758822,0.7250126361983812,1.2234688915523784
ABCA7,244,515,759,0.6320254662071104,0.9585680111183074,0.815429215512786,1.124479007838348
ABCA8,152,162,314,1.166599957929092e-08,1.940442692777465,1.5391997160754198,2.4450185237321453
ABCA9,205,304,509,0.0005088409154936535,1.388682046867115,1.1522679532078772,1.6708175747611644
ABCB1,113,276,389,0.09986202384089986,0.8255319509584913,0.6548817225800588,1.035019343027486
