gene,case_missense_mpc_2,control_missense_mpc_2,sample_missense_mpc_2,pval_missense_mpc_2,OR_missense_mpc_2,lowci_missense_mpc_2,highci_missense_mpc_2
A2M,73,120,193,0.1646630352127994,1.2385987413289945,0.9105240932549399,1.6752705237996932
A2ML1,148,250,398,0.07368033556413851,1.2089704151065657,0.9760448363875978,1.4934247134115743
AAAS,20,41,61,1.0000000000000004,0.9895657412719839,0.548464107337784,1.7310641088101357
AACS,50,79,129,0.18717351662435142,1.2876565323222742,0.8830816026644381,1.8624420295343564
AADAT,10,8,18,0.0477917046062016,2.5396847286593953,0.9016642652410118,7.411464394789601
AAGAB,28,45,73,0.32125131509797755,1.2641718657109207,0.7581782671645211,2.0747183218018868
AAK1,2,10,12,0.35842439206481297,0.405463516367958,0.043177219498606256,1.9039815403528761
AAMP,21,30,51,0.23310530874904145,1.4224015961843304,0.7729094460771214,2.5722824669407975
AARS,153,272,425,0.18909718362098815,1.1469556356008899,0.9309024681862038,1.4090787726293414
AARS2,4,6,10,0.7385945905226379,1.3528638459489226,0.28061647306809245,5.707599797762488
AASDH,98,215,313,0.5426924057897322,0.922771215638921,0.7167683546823602,1.1811337997023834
AASS,124,270,394,0.548938385950165,0.9294483360205781,0.742520639247295,1.1582458952120713
AATF,28,59,87,0.9094121337421329,0.9625282847777763,0.5898851605907197,1.5364991022074674
AATK,4,2,6,0.0969883526155232,4.060069806477633,0.5816004925303284,44.9011301989049
ABCA10,73,150,223,1.0,0.9870702936929275,0.7336916630338679,1.3180344782450637
ABCA13,355,836,1191,0.013462612020359324,0.8474521062892417,0.7415152252134231,0.9671561114778997
ABCA2,131,237,368,0.285040579191908,1.1256048308003508,0.8989501769752806,1.4045217609997687
ABCA3,291,653,944,0.1390236052306404,0.896255654416011,0.7734029023482996,1.0368090423247656
ABCA4,116,304,420,0.01732804203872242,0.7671282257457207,0.6117372285193193,0.9567970006150578
ABCA5,75,173,248,0.3752060300586061,0.8771373304522736,0.657891680145673,1.1600981340896594
ABCA6,90,193,283,0.7012055470086425,0.9447531383758822,0.7250126361983812,1.2234688915523784
ABCA7,230,488,718,0.594455821356847,0.953388820819583,0.8073660581224756,1.1233127778543937
ABCA8,152,162,314,1.166599957929092e-08,1.940442692777465,1.5391997160754198,2.4450185237321453
ABCA9,205,294,499,0.00011822428169676433,1.437809852367826,1.1916389064182007,1.7322113890111563
ABCB1,113,276,389,0.09986202384089986,0.8255319509584913,0.6548817225800588,1.035019343027486
ABCB4,131,233,364,0.23440003170786292,1.1455264863203776,0.9142749735817485,1.4303833190992845
ABCB5,224,382,606,0.03702095812493114,1.2012500864302504,1.0091352489675276,1.4274130590664327
ABCB6,216,361,577,0.02313687824756508,1.2264799126146804,1.026518323751387,1.4627735245540607
ABCB7,22,55,77,0.46634365517560616,0.8104459068413878,0.4698800439349899,1.3533140245509998
ABCB8,50,126,176,0.1973283060372633,0.8025336015812218,0.5650096763778221,1.1248141160276959
ABCB9,26,58,84,0.7282658393509727,0.9088256866005066,0.5482174383931508,1.46956794633021
ABCC1,187,368,555,0.7462018278226838,1.0325030913430684,0.8573142208120876,1.240235497976713
ABCC10,271,509,780,0.28762198238906606,1.0861611377562082,0.9287627785567543,1.2681606582244795
ABCC11,237,414,651,0.059304323929241134,1.1718875420022985,0.9897782410958124,1.3851340514204915
ABCC12,160,242,402,0.004172995814850362,1.3560636660565424,1.099168044794228,1.6693535931307928
ABCC3,184,298,482,0.015321676279403004,1.2652067246090914,1.0425732711478117,1.5322847162254905
ABCC5,92,139,231,0.02845475266011422,1.3511288131042591,1.0236284818397106,1.7763707075275377
ABCC6,176,287,463,0.0204230192217004,1.2556879910035152,1.030542724044691,1.5268233459357157
ABCC8,81,137,218,0.1912840882673671,1.203697229501075,0.9004587574335934,1.6004275131541104
ABCC9,23,64,87,0.20916756353999344,0.7274610360560355,0.4302882626429032,1.1901454628137402
ABCD3,45,112,157,0.2670209384038173,0.8129697021503829,0.5606894867043534,1.1614567514201457
ABCE1,2,11,13,0.24279946013809464,0.3685582869752677,0.03967775561180568,1.6899442644565985
ABCF1,14,25,39,0.7339289454094895,1.1365613102726835,0.5454931704711401,2.275274093217688
ABCF3,81,120,201,0.028342942783963196,1.3773077764600319,1.0230384197405007,1.8461253885133895
ABCG1,27,81,108,0.08066775720142393,0.6739851877580424,0.4182877468285845,1.0554177488533123
ABCG2,46,77,123,0.33501139246135725,1.2144769103380937,0.8222020135896702,1.7764668292998973
ABCG4,52,68,120,0.018912381357096875,1.558871961466548,1.0626860520032175,2.2751158765495823
ABCG5,94,167,261,0.3180371804658813,1.1454339361621375,0.8772479468454337,1.488303901286843
ABHD10,37,56,93,0.18372871881661418,1.3437162377228915,0.8606850657329033,2.0758244034140025
ABHD11,20,24,44,0.10673975126688752,1.6941595582128703,0.8863278774104427,3.204780203305204
ABHD14B,2,1,3,0.2550346148370204,4.058485292018265,0.21121917126250336,239.14629870833855
ABHD16A,5,1,6,0.017040908941866086,10.156561252304643,1.1356262876055834,479.20516441350514
ABHD17A,3,3,6,0.4036187918150712,2.029450965679079,0.27168517495293276,15.1641955057073
ABHD3,12,28,40,0.7394366990017042,0.8690651692339469,0.40207933752335495,1.7670549594585925
ABI2,12,12,24,0.08445255535793443,2.03185552905572,0.8340468724474439,4.949746357440172
ABI3,16,24,40,0.3997008469589368,1.3539639303099553,0.6712423725755762,2.6602021773533413
ABI3BP,7,14,21,1.0000000000000002,1.014394955840448,0.34620742826264195,2.688230106921896
ABL1,49,127,176,0.1467550611217962,0.7799338547744095,0.5477950739982864,1.0953221078157542
ABLIM1,121,257,378,0.6974102558434211,0.95371131636561,0.7591608914111618,1.1927904056101128
ABLIM2,38,71,109,0.6831054093365246,1.0866393296145596,0.7114012787605133,1.6369280748544215
ABLIM3,76,216,292,0.009735066335378793,0.7080890274843874,0.5362754390277124,0.9266211675650384
ABR,10,13,23,0.2770164987237922,1.561984664024627,0.6124861576321915,3.8599642336564712
ABTB1,11,25,36,0.8599878816330883,0.8923460159368227,0.3959053975160464,1.8824392375054186
AC002401.1,0,0,0,,,,
AC002550.5,0,0,0,,,,
AC004041.2,0,0,0,,,,
AC004381.6,21,69,90,0.055393218419965945,0.6153714065225293,0.3579594496143004,1.0171482479420924
AC009065.1,4,8,12,0.9999999999999999,1.0143837656262462,0.22339094247984448,3.7890942368411524
AC009303.1,0,0,0,,,,
AC010327.2,1,0,1,0.33017175083311967,inf,0.052018464830419324,inf
AC011997.1,0,0,0,,,,
AC012379.1,0,0,0,,,,
AC018867.2,3,2,5,0.33995518690032767,3.0443613995111147,0.3485850272371702,36.48612398803831
AC026407.1,1,0,1,0.33017175083311967,inf,0.052018464830419324,inf
AC027763.2,14,46,60,0.12980364205113593,0.6160707313946421,0.3123747453078125,1.1422332609340369
AC073610.5,1,3,4,0.9999999999999998,0.6761794432770978,0.012881146261914512,8.424766244846516
AC110615.1,0,0,0,,,,
ACAA1,31,47,78,0.22693039740833237,1.3408478634736527,0.8220399100426353,2.1590587633477023
